brand_name,model_name,store_name,store_id,price_brl,url,is_active,id,paddle_id,last_updated,version_id
Joola,Cola Glue Lex Green,Joola Brasil,14,138.0,https://joola.com.br/products/lex-green-power-table-tennis-rubber-glue,True,23,8cabb82c-460b-4992-b4aa-30639d0cc420,2026-03-22 20:47:40.789610,
Joola,Raquete Vyzaryz Freeze Hrd,Joola Brasil,14,1169.0,https://joola.com.br/products/raquete-vyzaryz-freeze-hrd,True,24,031ed778-71f7-418f-81e2-dc7c141fed96,2026-03-22 20:47:40.803472,
Joola,Raquete Infinity Balance (Vermelha),Joola Brasil,14,349.0,https://joola.com.br/products/raquete-joola-infinity-balance-vermelha,True,25,08137c46-ea01-40be-997b-da71ba85537b,2026-03-22 20:47:40.818418,
Joola,Raquete Infinity Balance (Azul),Joola Brasil,14,349.0,https://joola.com.br/products/raquete-joola-infinity-balance-azul,True,26,a21188c1-e133-4c8f-ae68-55e78524f02f,2026-03-22 20:47:40.832326,
Joola,Raquete Vyzaryz Trinity,Joola Brasil,14,1299.0,https://joola.com.br/products/raquete-joola-vyzaryz-trinity,True,27,85d3141f-b778-4ed9-8b1f-9b2eb0941ab2,2026-03-22 20:47:40.848865,
Joola,Adicional: Serviço De Montagem De Raquete (Azul No Forehand),Joola Brasil,14,50.0,https://joola.com.br/products/racket-assembly-service-blue-on-forehand,True,28,8f1393be-af11-4b74-b9e7-eb550589f5c6,2026-03-22 20:47:40.863627,
Joola,Borracha Vizon,Joola Brasil,14,147.0,https://joola.com.br/products/borracha-joola-vizon,True,29,8d2b3753-24ad-4b37-92e7-eb248a1e8e25,2026-03-22 20:47:40.879739,
Joola,Adicional: Serviço De Montagem De Raquete (Lilás No Forehand),Joola Brasil,14,50.0,https://joola.com.br/products/servico-de-montagem-de-raquete-lilas-no-forehand,True,30,0858240d-aadb-43d5-9eb2-4aab9856f98f,2026-03-22 20:47:40.895443,
Joola,Rubber Cleaner Set (125Ml),Joola Brasil,14,109.0,https://joola.com.br/products/joola-rubber-cleaner-set-125ml,True,31,7714d76d-98a0-44e2-ac27-92343612a657,2026-03-22 20:47:40.910383,
Joola,Borracha Dynaryz Cmd,Joola Brasil,14,409.0,https://joola.com.br/products/borracha-joola-dynaryz-cmd,True,32,7b81a7a1-12a1-4ddb-8d93-e0520e6dda78,2026-03-22 20:47:40.924805,
Joola,Borracha Dynaryz Agr,Joola Brasil,14,409.0,https://joola.com.br/products/borracha-joola-dynaryz-agr,True,33,8e5ead28-98bc-4b85-8701-14b2d557de48,2026-03-22 20:47:40.938425,
Joola,Borracha Express Ultra (Pino Curto),Joola Brasil,14,299.0,https://joola.com.br/products/borracha-joola-express-ultra,True,34,6add59c1-f04a-4cdc-bac9-c36306884ec7,2026-03-22 20:47:40.952473,
Joola,Borracha Dynaryz Zgr,Joola Brasil,14,419.0,https://joola.com.br/products/borracha-joola-dynaryz-zgr,True,35,10af77b9-7ab2-49b0-b173-cd447db1c4f2,2026-03-22 20:47:40.967824,
Joola,Borracha Dynaryz Inferno,Joola Brasil,14,409.0,https://joola.com.br/products/borracha-joola-dynaryz-inferno,True,36,a0e5a6b4-a5b8-4e01-b51b-c2cf3e699901,2026-03-22 20:47:40.983766,
Joola,Borracha Tronix Zgr,Joola Brasil,14,359.0,https://joola.com.br/products/borracha-joola-tronix-zgr,True,37,84664183-40f4-4f54-8279-2bb6b0c90df1,2026-03-22 20:47:40.995270,
Joola,Borracha Tronix Acc,Joola Brasil,14,359.0,https://joola.com.br/products/borracha-joola-tronix-acc,True,38,a9bc00b2-1ed4-4d85-a44f-424f4a8e4a57,2026-03-22 20:47:41.008355,
